,cou,date,confirmed,deaths,recovered
0,CHN,2020-1-22,548,17,28
1,CHN,2020-1-23,641,18,30
2,CHN,2020-1-24,918,26,36
3,CHN,2020-1-25,1401,42,39
4,CHN,2020-1-26,2067,56,49
5,CHN,2020-1-27,2869,82,58
6,CHN,2020-1-28,5501,131,101
7,CHN,2020-1-29,6077,133,120
8,CHN,2020-1-30,8131,171,135
9,CHN,2020-1-31,9790,213,214
10,CHN,2020-2-1,11878,259,275
11,CHN,2020-2-2,16615,361,463
12,CHN,2020-2-3,19701,425,614
13,CHN,2020-2-4,23690,490,843
14,CHN,2020-2-5,27419,562,1115
15,CHN,2020-2-6,30563,632,1477
16,CHN,2020-2-7,34085,717,1999
17,CHN,2020-2-8,36788,804,2596
18,CHN,2020-2-9,39800,904,3219
19,CHN,2020-2-10,42316,1011,3918
20,CHN,2020-2-11,44337,1111,4636
21,CHN,2020-2-12,44709,1116,5081
22,CHN,2020-2-13,59842,1368,6216
23,CHN,2020-2-14,66302,1520,7976
24,CHN,2020-2-15,68357,1662,9297
25,CHN,2020-2-16,70456,1765,10753
26,CHN,2020-2-17,72374,1863,12460
27,CHN,2020-2-18,74149,2002,14204
28,CHN,2020-2-19,74556,2114,15957
29,CHN,2020-2-20,75009,2236,18008
30,CHN,2020-2-21,75482,2236,18699
31,CHN,2020-2-22,76932,2441,22693
32,CHN,2020-2-23,76948,2443,23176
33,CHN,2020-2-24,77162,2593,24996
34,CHN,2020-2-25,77670,2663,27657
35,CHN,2020-2-26,78075,2715,30060
36,CHN,2020-2-27,78508,2744,32906
37,CHN,2020-2-28,78834,2788,36299
38,CHN,2020-2-29,79261,2835,39287
39,CHN,2020-3-1,79836,2870,42126
40,CHN,2020-3-2,80036,2912,44818
41,CHN,2020-3-3,80161,2945,47413
42,CHN,2020-3-4,80281,2981,49964
43,CHN,2020-3-5,80432,3013,52249
44,CHN,2020-3-6,80583,3042,53898
45,CHN,2020-3-7,80662,3070,55488
46,CHN,2020-3-8,80709,3097,57330
47,CHN,2020-3-9,80745,3120,58745
48,CHN,2020-3-10,80767,3136,60116
49,CHN,2020-3-11,80795,3158,61579
50,CHN,2020-3-12,80803,3169,62834
51,CHN,2020-3-13,80811,3176,64119
52,CHN,2020-3-14,80837,3189,65582
53,CHN,2020-3-15,80858,3199,66936
54,CHN,2020-3-16,80878,3213,67826
55,CHN,2020-3-17,80896,3226,68710
56,CHN,2020-3-18,80921,3237,69663
57,CHN,2020-3-19,80948,3245,70440
58,CHN,2020-3-20,80994,3249,71168
59,CHN,2020-3-21,81032,3255,71759
60,CHN,2020-3-22,81080,3261,72262
61,CHN,2020-3-23,81000,3268,72842
62,CHN,2020-3-24,81171,3277,73159
63,CHN,2020-3-25,81218,3281,73650
64,CHN,2020-3-26,81285,3287,74051
65,CHN,2020-3-27,81340,3292,74588
66,CHN,2020-3-28,81394,3295,74971
67,CHN,2020-3-29,81439,3300,75448
68,CHN,2020-3-30,81439,3300,75448
69,CHN,2020-3-31,81518,3305,76052
70,CHN,2020-4-1,81554,3312,76238
71,CHN,2020-4-2,81589,3318,76408
