"cca2","country","TRY","UPPSRY","BUPPSRY","pop2020"
"CA","Canada","0.5671","0.3441","0.0887","37742.1540"
"JP","Japan","0.5144",,,"126476.4610"
"IL","Israel","0.5092","0.3646","0.1263","8655.5350"
"KR","South Korea","0.4774","0.3987","0.1239","51269.1850"
"US","United States","0.4636","0.4429","0.0935","331002.6510"
"GB","United Kingdom","0.4574","0.3542","0.1883","67886.0110"
"IE","Ireland","0.4566","0.3635","0.1799","4937.7860"
"AU","Australia","0.4536","0.3563","0.1901","25499.8840"
"FI","Finland","0.4430","0.4380","0.1190","5540.7200"
"NO","Norway","0.4321","0.3876","0.1803","5421.2410"
"CH","Switzerland","0.4259","0.4521","0.1219","8654.6220"
"IS","Iceland","0.4238","0.3475","0.2286","341.2430"
"SE","Sweden","0.4194","0.4106","0.1700","10099.2650"
"LU","Luxembourg","0.4033","0.3637","0.2330","625.9780"
"LT","Lithuania","0.4027","0.5255","0.0717","2722.2890"
"BE","Belgium","0.4026","0.3654","0.2320","11589.6230"
"EE","Estonia","0.3966","0.4902","0.1132","1326.5350"
"DK","Denmark","0.3923","0.4210","0.1867","5792.2020"
"NZ","New Zealand","0.3773","0.4115","0.2112","4822.2330"
"NL","Netherlands","0.3717","0.4121","0.2162","17134.8720"
"ES","Spain","0.3635","0.2272","0.4093","46754.7780"
"FR","France","0.3521","0.4317","0.2162","65273.5110"
"SI","Slovenia","0.3430","0.5338","0.1232","2078.9380"
"LV","Latvia","0.3388","0.5373","0.1239","1886.1980"
"AT","Austria","0.3239","0.5257","0.1504","9006.3980"
"GR","Greece","0.3103","0.4168","0.2729","10423.0540"
"PL","Poland","0.2992","0.6219","0.0789","37846.6110"
"DE","Germany","0.2858","0.5794","0.1348","83783.9420"
"HU","Hungary","0.2405","0.5997","0.1597","9660.3510"
"PT","Portugal","0.2404","0.2391","0.5205","10196.7090"
"CZ","Czech Republic","0.2393","0.6987","0.0621","10708.9810"
"SK","Slovakia","0.2310","0.6821","0.0870","5459.6420"
"CR","Costa Rica","0.2299","0.1652","0.6049","5094.1180"
"CO","Colombia","0.2249","0.3129","0.4622","50882.8910"
"AR","Argentina","0.2141","0.4006","0.3853","45195.7740"
"TR","Turkey","0.2001","0.1928","0.6071","84339.0670"
"IT","Italy","0.1867","0.4225","0.3908","60461.8260"
"MX","Mexico","0.1742","0.2024","0.6234","128932.7530"
"ID","Indonesia","0.1186","0.2604","0.6210","273523.6150"
"ZA","South Africa","0.0744","0.6583","0.2673","59308.6900"
