COU,Country,Age,Sum,Mean,Variance,Count
GBR,United Kingdom,0-14,552.5,92.08333,2.605667,6
GBR,United Kingdom,15,28208.25,100.0293,118009,282
GBR,United Kingdom,16,8846,46.8,1768.885,189
GBR,United Kingdom,45,2575.5,15.89815,92.61795,162
GBR,United Kingdom,65,1301.7,61.98571,920.6323,21
DEU,Germany,0-14,535.4,89.23333,27.34667,6
DEU,Germany,15,56762.2,242.5735,55430.44,234
DEU,Germany,16,7510.2,43.9193,1560.493,171
DEU,Germany,45,912.5,11.26543,36.18604,81
DEU,Germany,65,1615.8,67.325,603.3454,24
ITA,Italy,0-14,525.1,87.51667,17.04167,6
ITA,Italy,15,17346.1,114.1191,73756.92,152
ITA,Italy,16,567.1,21.0037,613.9065,27
ITA,Italy,45,1915.2,11.82222,47.50062,162
ITA,Italy,65,766.7,28.3963,336.5104,27
