"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ITM00016252","1965-05-01","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  112","H,,S"
"ITM00016252","1965-05-02","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  114","H,,S"
"ITM00016252","1965-05-04","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  127","H,,S"
"ITM00016252","1965-05-10","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  169","H,,S"
"ITM00016252","1965-05-13","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  108","H,,S"
"ITM00016252","1965-05-14","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  117","H,,S"
"ITM00016252","1965-05-16","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  179","H,,S"
"ITM00016252","1965-05-18","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  222","H,,S"
"ITM00016252","1965-05-21","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  124","H,,S"
"ITM00016252","1965-05-25","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  158","H,,S"
"ITM00016252","1966-01-26","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   39",",,S",,,"   29","H,,S"
"ITM00016252","1966-01-27","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   61",",,S",,,"   21","H,,S"
"ITM00016252","1966-01-28","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"    0",",,S","   23","H,,S"
"ITM00016252","1966-01-29","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   33","H,,S"
"ITM00016252","1966-01-30","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   36","H,,S"
"ITM00016252","1966-01-31","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  100",",,S","   28",",,S","   56","H,,S"
"ITM00016252","1966-02-01","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   28",",,S","   39","H,,S"
"ITM00016252","1966-02-02","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   28",",,S","   63","H,,S"
"ITM00016252","1966-02-03","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   71","H,,S"
"ITM00016252","1966-02-07","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   89",",,S",,,"   60","H,,S"
"ITM00016252","1966-02-08","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   76","H,,S"
"ITM00016252","1966-02-09","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"  100","H,,S"
"ITM00016252","1966-02-10","41.567","14.65","807.0","CAMPOBASSO, IT","   71","B,,S",,,"  139",",,S","   89",",,S","   98","H,,S"
"ITM00016252","1966-02-11","41.567","14.65","807.0","CAMPOBASSO, IT","   56","B,,S",,,"   89",",,S",,,"   72","H,,S"
"ITM00016252","1966-02-13","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   78",",,S",,,"   53","H,,S"
"ITM00016252","1966-02-14","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   39",",,S","   46","H,,S"
"ITM00016252","1966-02-15","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   72",",,S",,,"   43","H,,S"
"ITM00016252","1966-02-16","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   22",",,S","   56","H,,S"
"ITM00016252","1966-02-17","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   50",",,S","   67","H,,S"
"ITM00016252","1966-02-18","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  122",",,S",,,"   71","H,,S"
"ITM00016252","1966-02-19","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  111",",,S","   50",",,S","   69","H,,S"
"ITM00016252","1966-02-20","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  122",",,S",,,"   81","H,,S"
"ITM00016252","1966-02-21","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  172",",,S","   89",",,S","  127","H,,S"
"ITM00016252","1966-02-22","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  178",",,S","  111",",,S","  146","H,,S"
"ITM00016252","1966-02-23","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  128",",,S",,,"   91","H,,S"
"ITM00016252","1966-02-24","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   78",",,S","   50",",,S","   63","H,,S"
"ITM00016252","1966-02-25","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  128",",,S",,,"   91","H,,S"
"ITM00016252","1966-02-26","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   72",",,S","  102","H,,S"
"ITM00016252","1966-02-27","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  161",",,S",,,"  117","H,,S"
"ITM00016252","1966-02-28","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  178",",,S","   72",",,S","  118","H,,S"
"ITM00016252","1966-03-01","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   88","H,,S"
"ITM00016252","1966-03-02","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   61",",,S",,,"   41","H,,S"
"ITM00016252","1966-03-03","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   54","H,,S"
"ITM00016252","1966-03-04","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   57","H,,S"
"ITM00016252","1966-03-05","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   28",",,S","   55","H,,S"
"ITM00016252","1966-03-06","41.567","14.65","807.0","CAMPOBASSO, IT","   61","B,,S",,,"   61",",,S","   39",",,S","   46","H,,S"
"ITM00016252","1966-03-07","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   50",",,S",,,"   41","H,,S"
"ITM00016252","1966-03-08","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   72",",,S",,,"   39","H,,S"
"ITM00016252","1966-03-09","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   28",",,S","   49","H,,S"
"ITM00016252","1966-03-10","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"  100",",,S","   28",",,S","   54","H,,S"
"ITM00016252","1966-03-11","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"   28",",,S","   75","H,,S"
"ITM00016252","1966-03-12","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   74","H,,S"
"ITM00016252","1966-03-13","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"  -11",",,S","    2","H,,S"
"ITM00016252","1966-03-14","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,"   39",",,S","  -22",",,S","    1","H,,S"
"ITM00016252","1966-03-15","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,,,"   -9","H,,S"
"ITM00016252","1966-03-16","41.567","14.65","807.0","CAMPOBASSO, IT",,,,,,,"  -22",",,S","   -4","H,,S"
